,NonError,Error,Accuracy
306,111.0,4.0,0.9652173913043478
307,111.0,4.0,0.9652173913043478
308,111.0,4.0,0.9652173913043478
309,111.0,4.0,0.9652173913043478
310,111.0,4.0,0.9652173913043478
311,111.0,4.0,0.9652173913043478
312,111.0,4.0,0.9652173913043478
313,111.0,4.0,0.9652173913043478
314,111.0,4.0,0.9652173913043478
315,111.0,4.0,0.9652173913043478
316,111.0,4.0,0.9652173913043478
317,111.0,4.0,0.9652173913043478
318,111.0,4.0,0.9652173913043478
319,111.0,4.0,0.9652173913043478
320,111.0,4.0,0.9652173913043478
321,111.0,4.0,0.9652173913043478
322,111.0,4.0,0.9652173913043478
323,111.0,4.0,0.9652173913043478
324,111.0,4.0,0.9652173913043478
325,111.0,4.0,0.9652173913043478
326,111.0,4.0,0.9652173913043478
327,111.0,4.0,0.9652173913043478
328,111.0,4.0,0.9652173913043478
329,111.0,4.0,0.9652173913043478
330,111.0,4.0,0.9652173913043478
331,111.0,4.0,0.9652173913043478
332,111.0,4.0,0.9652173913043478
333,111.0,4.0,0.9652173913043478
334,111.0,4.0,0.9652173913043478
335,111.0,4.0,0.9652173913043478
336,111.0,4.0,0.9652173913043478
337,111.0,4.0,0.9652173913043478
338,111.0,4.0,0.9652173913043478
339,111.0,4.0,0.9652173913043478
340,111.0,4.0,0.9652173913043478
341,111.0,4.0,0.9652173913043478
342,111.0,4.0,0.9652173913043478
343,111.0,4.0,0.9652173913043478
344,111.0,4.0,0.9652173913043478
345,111.0,4.0,0.9652173913043478
346,111.0,4.0,0.9652173913043478
347,111.0,4.0,0.9652173913043478
348,111.0,4.0,0.9652173913043478
349,111.0,4.0,0.9652173913043478
350,111.0,4.0,0.9652173913043478
351,111.0,4.0,0.9652173913043478
352,111.0,4.0,0.9652173913043478
353,111.0,4.0,0.9652173913043478
354,111.0,4.0,0.9652173913043478
355,111.0,4.0,0.9652173913043478
356,111.0,4.0,0.9652173913043478
357,111.0,4.0,0.9652173913043478
358,111.0,4.0,0.9652173913043478
359,111.0,4.0,0.9652173913043478
360,111.0,4.0,0.9652173913043478
361,111.0,4.0,0.9652173913043478
362,111.0,4.0,0.9652173913043478
363,111.0,4.0,0.9652173913043478
364,111.0,4.0,0.9652173913043478
365,111.0,4.0,0.9652173913043478
366,111.0,4.0,0.9652173913043478
367,111.0,4.0,0.9652173913043478
368,111.0,4.0,0.9652173913043478
369,111.0,4.0,0.9652173913043478
370,111.0,4.0,0.9652173913043478
371,111.0,4.0,0.9652173913043478
372,111.0,4.0,0.9652173913043478
373,111.0,4.0,0.9652173913043478
374,111.0,4.0,0.9652173913043478
375,111.0,4.0,0.9652173913043478
376,111.0,4.0,0.9652173913043478
377,111.0,4.0,0.9652173913043478
378,111.0,4.0,0.9652173913043478
379,111.0,4.0,0.9652173913043478
380,111.0,4.0,0.9652173913043478
381,111.0,4.0,0.9652173913043478
382,111.0,4.0,0.9652173913043478
383,111.0,4.0,0.9652173913043478
384,111.0,4.0,0.9652173913043478
